Severity,Date,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,City,County,State,Zipcode,Timezone,Weather_Timestamp,Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Temperature(F)
2,2020-01-03,08:52:05,09:51:47,42.821289,-74.197983,0.0,Right hand shoulder blocked due to accident on NY-30 at CR-127 Duanesburg Churches Rd.,Pattersonville,Schenectady,NY,12137-3817,US/Eastern,08:47:00,,29.38,10.0,SW,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.5
3,2020-01-04,08:00:21,08:44:58,39.02161,-76.940407,0.0,Left hand shoulder blocked and left lane blocked due to accident on I-495 Capital Beltway anticlockwise at I-95.,Hyattsville,Prince George's,MD,20783,US/Eastern,08:08:00,,29.65,7.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,49.6
2,2020-01-05,12:53:00,13:33:38,38.538957,-121.736787,0.0,At Richards Blvd - Accident.,Davis,Yolo,CA,95616,US/Pacific,12:55:00,,30.45,10.0,N,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,45.3
2,2020-01-05,21:25:00,22:16:37,34.426715,-117.380183,0.0,At I-15/Barstow Fwy/Historic Route 66 - Accident.,Hesperia,San Bernardino,CA,92345,US/Pacific,19:46:00,,27.35,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,45.4
2,2020-01-07,07:54:00,08:28:38,34.516618,-117.320619,0.0,At I-15-BL/CA-18/Palmdale Rd - Accident.,Victorville,San Bernardino,CA,92392,US/Pacific,07:45:00,,27.28,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,46.4
2,2020-01-07,10:59:00,11:33:38,34.35638400000001,-117.438214,0.0,At CA-138 - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,10:45:00,,27.24,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,46.4
2,2020-01-08,06:19:00,08:31:36,34.35638400000001,-117.438214,0.0,At CA-138 - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,06:50:00,,26.96,10.0,S,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,41.1
2,2020-01-08,12:13:00,14:05:33,34.470156,-117.451034,0.0,At Bear Valley Rd - Accident.,Victorville,San Bernardino,CA,92392-1346,US/Pacific,11:52:00,,26.97,10.0,W,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,41.1
2,2020-01-08,12:27:00,13:40:36,38.590194,-121.763479,0.0,At County Road 101A - Accident.,Davis,Yolo,CA,95616-9410,US/Pacific,12:35:00,,30.04,2.0,S,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,44.1
2,2020-01-09,12:05:00,13:17:27,34.522756,-120.304947,0.0,At CA-246/12th St - Accident.,Lompoc,Santa Barbara,CA,93436,US/Pacific,11:56:00,,29.88,10.0,NW,17.0,0.03,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48.9
